time(millisecond),datetime(utc),latitude,longitude
609900,2022-05-13 16:38:21,-34.4373635555409,-59.051920392017
610000,2022-05-13 16:38:21,-34.437363554787,-59.0519203903342
610100,2022-05-13 16:38:22,-34.4373635545814,-59.0519203973354
610200,2022-05-13 16:38:22,-34.4373635537247,-59.0519204136644
610300,2022-05-13 16:38:22,-34.4373635565689,-59.0519204334628
610400,2022-05-13 16:38:22,-34.4373635617434,-59.0519204611557
610500,2022-05-13 16:38:22,-34.4373635501266,-59.0519204874982
610600,2022-05-13 16:38:22,-34.4373635305254,-59.0519205108076
610700,2022-05-13 16:38:22,-34.4373635079772,-59.0519205381265
610800,2022-05-13 16:38:22,-34.4373634856346,-59.0519205495112
610900,2022-05-13 16:38:22,-34.4373634628465,-59.0519205505914
611000,2022-05-13 16:38:22,-34.437363446021,-59.0519205395392
611100,2022-05-13 16:38:23,-34.4373634362205,-59.0519205133214
611200,2022-05-13 16:38:23,-34.437363421828,-59.0519204967015
611300,2022-05-13 16:38:23,-34.4373634120959,-59.0519204874567
611400,2022-05-13 16:38:23,-34.4373634045228,-59.0519204790636
611500,2022-05-13 16:38:23,-34.4373634126785,-59.0519204738076
611600,2022-05-13 16:38:23,-34.4373634141863,-59.0519204692579
611700,2022-05-13 16:38:23,-34.4373634103483,-59.0519204629631
611800,2022-05-13 16:38:23,-34.4373633965384,-59.0519204590159
611900,2022-05-13 16:38:23,-34.4373633839621,-59.0519204459277
612000,2022-05-13 16:38:23,-34.4373633691241,-59.0519204259423
612100,2022-05-13 16:38:24,-34.4373633552114,-59.0519204067464
612200,2022-05-13 16:38:24,-34.4373633413672,-59.0519203824814
612300,2022-05-13 16:38:24,-34.4373633337941,-59.0519203494078
612400,2022-05-13 16:38:24,-34.4373633262209,-59.0519203066116
612500,2022-05-13 16:38:24,-34.4373632959967,-59.0519202637115
612600,2022-05-13 16:38:24,-34.4373632692678,-59.0519202311158
612700,2022-05-13 16:38:24,-34.4373632484673,-59.0519201935964
612800,2022-05-13 16:38:24,-34.4373632245141,-59.0519201605436
612900,2022-05-13 16:38:24,-34.437363203131,-59.0519201099569
613000,2022-05-13 16:38:24,-34.4373631814738,-59.0519200803942
613100,2022-05-13 16:38:25,-34.4373631632776,-59.0519200560669
613200,2022-05-13 16:38:25,-34.4373631465206,-59.0519200338794
613300,2022-05-13 16:38:25,-34.437363130312,-59.0519200196278
